appendix_ref,source_signal_id,source,source_grade,base_retest_grade,ticker,formation_date,event_date,event_day,entry_date,entry_open,formation_close,atr_abs20,rank_pct,swing_score,swing_rank_pct,mom12_1_pct,atr_pct20_pct,return_volume_corr20_pct,sma200_slope20_pct,close_vs_level_atr,close_location,event_volume_ratio,pullback_from_peak_atr,event_body_atr,event_body_return,r5,mfe5,mae5,r10,mfe10,mae10
S0208,MTR-v2:monthly:PECO:2022-07-05,monthly,A,A,PECO,2022-06-30,2022-07-05,2,2022-07-06,29.604009705665863,28.96251106262207,0.9873744928509356,0.9992841803865424,0.7142857142857143,0.8285714285714286,0.9928571428571428,0.1857142857142857,0.9642857142857144,0.1642857142857142,0.6848223000116278,1.0,0.3727574669297611,0.1624260055914993,0.5267785968531687,0.0178624135574725,0.0286968097067157,0.0368958943132315,-0.0199120166174432,0.0096685585975502,0.0368958943132315,-0.0359849592713767
S0209,MTR-v2:lm2:KOS:2022-08-01,lm2,A,B,KOS,2022-07-28,2022-08-01,2,2022-08-02,6.139999866485596,5.949999809265137,0.3899999856948852,0.9962321024868124,0.8020050125313283,0.9548872180451128,0.962406015037594,0.9097744360902256,0.5338345864661654,0.9022556390977444,0.4358976475115671,0.7037039653427665,0.5643200181293635,-0.6666672779963791,-0.0512820042566887,-0.0032573259546275,-0.0407166132632336,0.048859966980191,-0.0960911544919032,0.0048860277623297,0.0798046023795417,-0.0960911544919032
S0210,MTR-v2:lm2:PTEN:2022-08-01,lm2,A,A,PTEN,2022-07-28,2022-08-01,2,2022-08-02,14.348548581805613,13.765203475952148,0.8658754602370335,0.987189148455162,0.7468671679197995,0.924812030075188,0.8721804511278195,0.9022556390977444,0.4661654135338345,0.8421052631578947,0.5932630334852307,0.9193531020522429,0.7585406063692155,-0.7742587509155924,0.1407736866868809,0.0086100484426663,-0.1280339028604586,0.0212378878150278,-0.16868925124333,-0.1201455205897807,0.0212378878150278,-0.16868925124333
S0211,MTR-v2:lm2:LQDA:2022-08-02,lm2,A,A+,LQDA,2022-07-28,2022-08-02,3,2022-08-03,5.239999771118164,5.119999885559082,0.4299999833106994,0.9788997739261492,0.9273182957393484,1.0,0.7894736842105263,1.0,0.9924812030075189,0.7443609022556391,0.2325579267762732,0.7021270983359407,0.317487310196729,-0.1627911032052246,0.7441853656840743,0.065306058897173,0.0438931353282114,0.0534351568776119,-0.0324426730691461,0.4217557508929777,0.6774809820225103,-0.0324426730691461
S0212,MTR-v2:weekly:EQT:2022-08-10,weekly,A,A+,EQT,2022-08-05,2022-08-10,3,2022-08-11,42.28872177136586,39.73291015625,2.191513211619359,0.9887808526551982,0.6293532338308457,0.8097014925373134,0.8880597014925373,0.7611940298507462,0.2388059701492537,0.9477611940298508,0.5938741995240753,0.9715633384195956,0.6699428971347936,-0.2237747547652204,0.2797220384641892,0.0151656020047898,0.050624458925387,0.0938893886939897,-0.0490632177346294,0.1081623685371753,0.1536573602206161,-0.0490632177346294
S0213,MTR-v2:weekly:SM:2022-08-10,weekly,A,A,SM,2022-08-05,2022-08-10,3,2022-08-11,36.01103390334019,34.65572738647461,2.108450012100289,0.9842931937172776,0.6293532338308457,0.8097014925373134,0.8432835820895522,0.8582089552238806,0.1865671641791045,0.4253731343283582,0.1337373926626067,0.8619241051833518,0.7943159141534016,-0.2372708347836548,0.3882665860710862,0.0239936434591159,0.0424351995081568,0.0747664811359323,-0.0250063782371311,0.1621623016566802,0.1869158683968785,-0.0250063782371311
S0214,MTR-v2:lm2:LNTH:2022-09-01,lm2,A,A,LNTH,2022-08-30,2022-09-01,2,2022-09-02,79.7300033569336,77.37000274658203,4.206650161743164,0.996301775147929,0.7524509803921569,0.9044117647058824,0.9632352941176472,0.7941176470588235,0.5,1.0,0.3161646798575304,0.992124305019479,0.6272169409761634,-0.1664042767337345,0.2496036946243661,0.0135221558497116,0.0667251909047057,0.0762572926836759,-0.0245830506878654,-0.0027593278745797,0.0970776061443177,-0.0245830506878654
S0215,MTR-v2:weekly:TMDX:2022-09-29,weekly,A,B,TMDX,2022-09-23,2022-09-29,4,2022-09-30,42.7400016784668,41.68000030517578,3.2184501647949206,0.9552023121387284,0.6834532374100718,0.8633093525179856,0.5539568345323741,0.8992805755395683,0.5971223021582733,0.9784172661870504,0.2361379802758645,0.7099560236676198,0.7420296005516949,-0.4008143203949686,0.3635284404100312,0.0283498462798104,0.0014037799774813,0.0631725980863142,-0.0311184318863695,-0.041413205153322,0.0631725980863142,-0.0907814907754215
S0216,MTR-v2:weekly:EGY:2022-11-08,weekly,A,B,EGY,2022-11-04,2022-11-08,2,2022-11-09,4.131061428572501,4.171403884887695,0.2559725786648943,0.9727339719970524,0.8284313725490197,0.9705882352941176,0.7279411764705882,0.9264705882352942,0.8308823529411765,0.4044117647058823,0.0,0.742856987155382,0.679235213957995,-0.4412967619662625,-0.0630416874821762,-0.0038535608296746,0.0839845684162543,0.1191409406764083,-0.0527342060102012,0.0533483231388816,0.1191409406764083,-0.0567028725606798
S0217,MTR-v2:monthly:APA:2022-12-02,monthly,A,A,APA,2022-11-30,2022-12-02,2,2022-12-05,42.08991397178338,41.02167892456055,2.0348852070233865,0.9678597516435354,0.7153284671532848,0.8394160583941606,0.6788321167883211,0.7226277372262774,0.7445255474452555,0.5109489051094891,0.1118828528612988,0.7731093245114621,0.6930418229794336,-0.4173777232082053,0.3958702125821426,0.0199177746480945,-0.1291865782812803,0.0099854284435956,-0.1312669254871062,-0.0890368301560413,0.0099854284435956,-0.1312669254871062
