actionable,base_retest_grade,ticker,formation_date,event_date,event_day,formation_close,atr_abs20,adv20,rank_pct,swing_score,swing_rank_pct,mom12_1_pct,atr_pct20_pct,return_volume_corr20_pct,sma200_slope20_pct,expansion_date,expansion_peak_atr,pullback_from_peak_atr,close_vs_level_atr,close_location,event_volume_ratio,event_body_atr,event_body_return,entry_date,entry_open,r5,mfe5,mae5,r10,mfe10,mae10,policy,days_to_end,formation_return5,formation_return10,formation_return20,formation_return63,price_vs_sma20,price_vs_sma50,price_vs_sma200,sma20_slope5,sma50_slope10,sma200_slope20_raw,distance_prior_high20,distance_prior_high60,formation_volume_ratio20,relative_volume5_20,relative_volume20_60,signed_volume20,formation_gap,formation_close_location,atr_pct_raw,year,sample,quality_points,grade,month
True,A,UUUU,2021-10-28,2021-11-02,3,8.180000305175781,0.621999979019165,39101785.543899536,0.979560938682816,0.7769423558897243,0.8947368421052632,0.7969924812030075,0.9473684210526316,0.5864661654135338,0.556390977443609,2021-11-01,0.4501603575818835,0.1446947839609453,0.5948551415428289,0.9117655308597652,0.5308601120837007,0.0803861614492476,0.0058823753805721,2021-11-03,8.829999923706055,0.2423556468644419,0.2559456679964824,-0.009060014088027,0.115515341628176,0.2899207748285277,-0.009060014088027,rolling_daily_cohorts_cooldown_10,1,-0.0399061190516806,0.0407124893416888,0.1652422118804861,0.5580952962239583,0.0664928517541709,0.2005048956538619,0.3815234414139299,0.065795880899576,0.1063159674479043,0.0675970521874582,-0.1001099925342724,-0.1001099925342724,0.6605343743197324,-0.2933631260048437,0.0278198802965563,0.0785366839350925,0.0258302626311111,0.25,0.0760391144026734,2021,development,2,A,2021-11
True,A+,DVN,2022-01-28,2022-02-02,3,41.73163604736328,2.1019641708408625,670567045.7411385,0.9905523255813954,0.7318840579710145,0.8913043478260869,0.9057971014492754,0.391304347826087,0.8985507246376812,0.9855072463768116,2022-02-01,0.654735005465026,-0.0038516251005649,0.650883380364461,0.9054734205082476,0.6866070332745213,0.4313508584674228,0.0214889249718854,2022-02-03,42.840700499731234,-0.0151170126719324,0.0476192456540234,-0.0447844952738855,0.0175737137982141,0.0525321864613617,-0.0542326699177233,rolling_daily_cohorts_cooldown_10,1,0.1177363395617352,0.0384770152777094,0.1804439282287544,0.2971005445482746,0.0540951665410589,0.1533377305038605,0.5480625358695168,0.0378162974654385,0.035630239904616,0.090486890276503,-0.0499448317699989,-0.0499448317699989,0.7111971198052763,0.2279909306605045,0.1705981339994438,0.179399952366755,0.0154617639232532,0.5122945693773919,0.0503686020949487,2022,development,2,A,2022-02
True,B,NEXT,2022-04-28,2022-05-04,4,6.21999979019165,0.8788999795913697,15275462.829418182,0.988660524450744,0.9248826291079812,0.9929577464788732,0.8873239436619719,0.9859154929577464,0.9014084507042254,0.7746478873239436,2022-05-03,0.580271066929541,-0.3072021699807591,0.2730688969487819,0.7042253142759665,0.3252894196107838,0.0568895117714191,-0.0076805205801738,2022-05-05,6.460000038146973,-0.1780185895629351,0.077399380347902,-0.222136212740823,0.077399380347902,0.1671826497412605,-0.230650191819925,rolling_daily_cohorts_cooldown_10,1,-0.0341615318437996,0.0081036812446424,0.0213464095807152,1.8663592495418408,-0.0250019861674842,0.2924406361887546,0.7849455596776751,0.0029871799438143,0.2157328284662236,0.0720999255654462,-0.2035851682762006,-0.2035851682762006,0.5703561426916705,-0.4826871880373925,0.5109454861935279,0.4626482706039324,0.0186125442224116,0.8732392285178155,0.1413022522890292,2022,development,2,A,2022-05
True,A+,LNTH,2022-05-27,2022-06-03,4,70.33999633789062,4.420949554443359,81765111.38837814,0.989384288747346,0.8450704225352113,0.971830985915493,0.8943661971830986,0.7323943661971831,0.908450704225352,0.9577464788732394,2022-06-02,0.5790622933969694,-0.228458190665249,0.3506041027317202,0.9156630105317828,0.5859658624844482,0.4275098293643405,0.0269999912806919,2022-06-06,73.62000274658203,-0.1327085562070905,0.0021732684969544,-0.1677533527311874,-0.175224138068615,0.0021732684969544,-0.1961423784662471,rolling_daily_cohorts_cooldown_10,1,0.1292341516141577,0.099062442779541,0.0591777211122717,0.4709325969632711,0.1025077861828207,0.1684850610809913,0.908218751291429,0.0249654550070472,0.0450972212088145,0.1139177761546752,0.0086178169816089,0.0086178169816089,1.474451809900586,0.0341728383432826,-0.0303499665103818,0.2223726711487364,0.0040815818116162,0.8381291508864372,0.0628511484875055,2022,development,2,A,2022-06
True,B,KOS,2022-07-28,2022-08-01,2,5.949999809265137,0.3899999856948852,39039716.610445976,0.9962321024868124,0.8020050125313283,0.9548872180451128,0.962406015037594,0.9097744360902256,0.5338345864661654,0.9022556390977444,2022-07-29,1.1025649255079462,-0.6666672779963791,0.4358976475115671,0.7037039653427665,0.5643200181293635,0.0512820042566887,-0.0032573259546275,2022-08-02,6.139999866485596,-0.0407166132632336,0.048859966980191,-0.0960911544919032,0.0048860277623297,0.0798046023795417,-0.0960911544919032,rolling_daily_cohorts_cooldown_10,1,0.0587188488302301,0.1531007723283626,-0.070312543655745,-0.1313868770653227,0.0558069039572965,-0.1042394599368646,0.1039575158961558,-0.0255900409457474,-0.0322279851632142,0.0559032979920826,-0.1376811989814481,-0.2991755041612327,0.6696969432847268,-0.0708236367386899,-0.2123386013615011,-0.0741328266408671,0.0183027707966845,0.3555553671753638,0.0655462181843418,2022,development,2,A,2022-08
True,A,PTEN,2022-07-28,2022-08-01,2,13.765203475952148,0.8658754602370335,48979108.99424553,0.987189148455162,0.7468671679197995,0.924812030075188,0.8721804511278195,0.9022556390977444,0.4661654135338345,0.8421052631578947,2022-07-29,1.3675217844008232,-0.7742587509155924,0.5932630334852307,0.9193531020522429,0.7585406063692155,0.1407736866868809,0.0086100484426663,2022-08-02,14.348548581805613,-0.1280339028604586,0.0212378878150278,-0.16868925124333,-0.1201455205897807,0.0212378878150278,-0.16868925124333,rolling_daily_cohorts_cooldown_10,1,0.1869369571247199,0.2458628653876926,-0.0406552319617332,-0.0238315471795704,0.1348790548519873,-0.0097992286381609,0.2327865990714133,-0.0221801158823355,-0.01744437512812,0.0428960295972744,-0.0611638245331103,-0.2282898385038227,1.0772028294824791,-0.221342015606156,-0.0437076893308369,-0.0408094759152419,0.0130633544675893,0.8369569499010046,0.0629032082053651,2022,development,2,A,2022-08
True,A+,LQDA,2022-07-28,2022-08-02,3,5.119999885559082,0.4299999833106994,13264756.67380333,0.9788997739261492,0.9273182957393484,1.0,0.7894736842105263,1.0,0.9924812030075189,0.7443609022556391,2022-08-01,0.3953490299814979,-0.1627911032052246,0.2325579267762732,0.7021270983359407,0.317487310196729,0.7441853656840743,0.065306058897173,2022-08-03,5.239999771118164,0.0438931353282114,0.0534351568776119,-0.0324426730691461,0.4217557508929777,0.6774809820225103,-0.0324426730691461,rolling_daily_cohorts_cooldown_10,1,0.0178925789257893,0.3544973344739581,0.177011493748884,-0.0873440706405759,0.1301180675331297,0.1342489739148906,-0.0079057753663569,0.0422130158389848,-0.0209092462771962,0.0355774051502044,-0.1232877137357185,-0.1592775439614095,0.3055835134392283,-0.3486448061282802,0.5612302860541649,0.4856630434567676,0.0,0.1515143195676675,0.083984373617568,2022,development,2,A,2022-08
True,A,LNTH,2022-08-30,2022-09-01,2,77.37000274658203,4.206650161743164,89975289.66609955,0.996301775147929,0.7524509803921567,0.9044117647058824,0.9632352941176472,0.7941176470588235,0.5,1.0,2022-08-31,0.482568956591265,-0.1664042767337345,0.3161646798575304,0.992124305019479,0.6272169409761634,0.2496036946243661,0.0135221558497116,2022-09-02,79.7300033569336,0.0667251909047057,0.0762572926836759,-0.0245830506878654,-0.0027593278745797,0.0970776061443177,-0.0245830506878654,rolling_daily_cohorts_cooldown_10,1,-0.0436341002807975,-0.0720795718974381,0.0161544965431246,0.1291594649313394,-0.044561172093434,0.0577996200642374,0.4959961325846085,0.0189948347234831,0.046838548707889,0.1211102702728159,-0.109153666022963,-0.109153666022963,0.592189273552781,-0.1456264188422247,-0.061983757510557,-0.110013479001135,0.0,0.1846848317493157,0.0543705572238589,2022,development,2,A,2022-09
True,A+,MOD,2022-11-29,2022-12-02,3,20.600000381469727,1.0114998817443852,10332571.152887344,0.9594395280235988,0.696078431372549,0.8161764705882353,0.5955882352941176,0.6691176470588235,0.8235294117647058,0.9411764705882352,2022-11-30,0.7909039353330515,-0.1779538568658735,0.6129500784671779,0.7999995761445615,0.4645551721069129,0.4745423611998252,0.0231436618868605,2022-12-05,20.88999938964844,-0.057922408799698,0.0177118645305822,-0.057922408799698,-0.0344662199325518,0.0177118645305822,-0.1000478800216502,rolling_daily_cohorts_cooldown_10,1,-0.013409903762017,-0.0287599589501866,0.1495535878217493,0.36877077211943,0.0039965079847055,0.2157552634036894,0.6339545591466591,0.0506695315231515,0.0749758933199766,0.0918187974641808,-0.0691368656718862,-0.0691368656718862,0.4714770243945851,-0.575037822978572,0.270491425699868,-0.1025719625428907,0.0014734174065609,0.8431374748959374,0.0491019350977419,2022,development,2,A,2022-12
True,A,CRK,2023-02-27,2023-03-01,2,11.74924373626709,0.674794017747824,90996326.65426254,0.9502487562189056,0.7021276595744681,0.8049645390070922,0.5035460992907801,0.900709219858156,0.7021276595744681,0.0070921985815602,2023-02-28,0.3500916879120162,0.0428657509587395,0.3929574388707557,0.8000003178912353,0.454223892601974,0.6001537395490489,0.0348837273774631,2023-03-02,11.869773822724492,-0.0284322450250482,0.090170566561498,-0.0503656679142595,-0.1697806397547696,0.090170566561498,-0.1998374949654957,rolling_daily_cohorts_cooldown_10,1,0.0207296359260444,-0.005654303394858,-0.0032388331171656,-0.3558131808420125,0.0175656007682536,-0.0426044882444524,-0.2256575193321049,-0.0104699136030347,-0.0479088976833803,-0.0277756876696693,-0.0874721491154074,-0.3452127345983607,0.623244036012808,-0.191572718338939,0.4869679045473587,0.0370381296753525,0.0031224902349153,0.1000006357824743,0.0574329746573302,2023,validation,2,A,2023-03
True,A,WFRD,2023-02-27,2023-03-01,2,65.37751770019531,2.9040293816352736,54930217.50677109,0.9808102345415778,0.7494089834515365,0.8936170212765957,0.8085106382978723,0.6737588652482269,0.7659574468085106,0.8936170212765957,2023-02-28,0.5742509743986766,-0.2670973905309119,0.3071535838677646,0.8481667445585565,0.6471031104965955,0.417334411780947,0.0186289124951632,2023-03-02,64.7957826136806,-0.0013468663795892,0.0501269256097181,-0.023791873097874,-0.1883884072387839,0.0501269256097181,-0.2153224651039073,rolling_daily_cohorts_cooldown_10,1,0.0725305572810481,0.0082236503453767,0.2099408977142729,0.5847236929559263,0.0913299151626427,0.2162961935263285,0.8137741617686365,0.0302812932476768,0.0874446821151291,0.0792593159915044,-0.0289459556283089,-0.0289459556283089,1.1580037287401188,-0.1763688191498501,0.040915785007064,0.1917755238812826,0.0001542552046374,0.9043216780911416,0.0444193888631932,2023,validation,2,A,2023-03
True,A,ROIV,2023-03-30,2023-04-03,2,7.309999942779541,0.4823000192642211,27785525.371422768,0.9764868603042876,0.7977011494252872,0.903448275862069,0.7655172413793103,0.9241379310344828,0.7034482758620689,0.8827586206896552,2023-03-31,0.393945779870206,-0.2073396239650259,0.1866061559051801,0.7500011920940324,0.6681333350159356,0.1036703063191697,0.0068027471270235,2023-04-04,7.420000076293945,0.0013476754638623,0.016846361012766,-0.0606469382042184,0.1954177620425801,0.2061994228085477,-0.0606469382042184,rolling_daily_cohorts_cooldown_10,1,0.0457797113218199,-0.1400000067318186,-0.0975309137635919,-0.0419397335336507,-0.0646791673270678,-0.0943555218206871,0.2676062357581446,-0.0214723975002425,-0.0396211602010572,0.0721054845856385,-0.1819606033036022,-0.2690000057220458,0.6039981435287816,-0.0775805861345156,0.2181147299249959,-0.0324728224672278,0.0078023332032624,0.0769232023240308,0.0659781153268836,2023,validation,2,A,2023-04
True,B,BBIO,2023-05-30,2023-06-01,2,13.539999961853027,0.8235500335693361,22833703.006014824,0.9882525697503672,0.7883211678832116,0.8905109489051095,0.8832116788321168,0.8613138686131386,0.6204379562043796,0.3795620437956204,2023-05-31,0.5585574881872001,0.0,0.5585574881872001,0.7209303872917302,0.5669179633149332,0.2307079990754494,0.013758115467789,2023-06-02,14.18000030517578,0.1488011681904832,0.1780676702530561,-0.0317348909206439,0.0944993035083916,0.2122708155219976,-0.0317348909206439,rolling_daily_cohorts_cooldown_10,1,-0.012399713772497,-0.0876010901191373,-0.055788018286073,0.1856392181607649,-0.0211635482281292,-0.0748648839745982,0.1848221966164422,-0.0150244779802416,-0.019179863783257,0.0357246442765819,-0.0955244007794264,-0.3211331075945469,0.7988747730297161,-0.0522266580577103,-0.490696421375922,-0.1368429987056252,0.0130909312855111,0.1157891355392343,0.0608234886181364,2023,validation,2,A,2023-06
True,A+,PACB,2023-05-30,2023-06-01,2,12.34000015258789,0.7290001392364504,45755513.80362033,0.9816446402349486,0.6934306569343065,0.8065693430656934,0.8175182481751825,0.8321167883211679,0.4306569343065693,0.9343065693430656,2023-05-31,0.3566531950928845,0.3566518868979081,0.7133050819907927,0.826666514078776,0.760192529247896,0.7544569712107493,0.0446790591642947,2023-06-02,13.170000076293944,0.0569476078705575,0.0774487090493918,-0.0220197388134436,0.0106302462043836,0.0858010712144887,-0.0220197388134436,rolling_daily_cohorts_cooldown_10,1,-0.0551301871282742,-0.0080385394829995,0.0910698227017483,0.3590308652283827,0.0082523296187553,0.1061709097397316,0.3411002830858516,0.0391407682611031,0.0707594252212271,0.0830209325499837,-0.0811615880729216,-0.0811615880729216,1.0185478356423894,0.1500296669584582,-0.000292149685263,0.1283621444288644,0.0168269267507794,0.1234571971173148,0.0590761855933662,2023,validation,2,A,2023-06
True,A+,GENI,2023-07-28,2023-08-01,2,7.599999904632568,0.4819000244140625,20974255.725061893,0.9847161572052402,0.9082125603864734,1.0,0.8478260869565217,0.9130434782608696,0.9637681159420288,0.6159420289855072,2023-07-31,0.7677938717869153,-0.1452577117200413,0.622536160066874,0.9142864538700796,0.3507777157538287,0.3527704247382986,0.0219922478492207,2023-08-02,7.75,-0.1290322580645161,0.0903225560342111,-0.1329032528784967,-0.1716128933814263,0.0903225560342111,-0.2103225954117313,rolling_daily_cohorts_cooldown_10,1,0.0106382877538515,0.0133333206176757,0.292516965427847,1.0540540018074704,0.0324684031332147,0.1905134810047684,0.5285599221759174,0.063113805386441,0.110612388586692,0.0693737966188565,-0.0617284510234101,-0.0617284510234101,0.318975278271328,-0.5522794388260921,0.5507160366169466,0.5036213572914043,0.0027247929851148,0.9259259913356916,0.063407898744883,2023,validation,2,A,2023-08
True,B,IMVT,2023-07-28,2023-08-01,2,22.530000686645508,1.1180999755859375,21623398.874502186,0.9985443959243084,0.8961352657004831,0.9782608695652174,0.9855072463768116,0.8478260869565217,0.855072463768116,0.8478260869565217,2023-07-31,0.2951434852980079,0.1878178061515566,0.4829612914495645,0.7118643519865498,0.7268224670690029,0.2414814986666812,0.0118421257367762,2023-08-02,22.739999771118164,-0.0426560828108044,0.0129727387538773,-0.0677220327035643,-0.0976253006024252,0.0129727387538773,-0.1160949611354645,rolling_daily_cohorts_cooldown_10,1,0.011220825506969,0.0863066989045988,0.2165226851925279,0.4019913574672877,0.0731637910513658,0.0791470601789687,0.3356058206236685,0.0338307029573925,0.038417920587525,0.0967122203644612,-0.1033906218534875,-0.1033906218534875,0.6570595903821858,-0.3499670312523594,-0.1042776891101072,0.2636644133827948,0.0023010191193051,0.8720943384927895,0.0496271611855157,2023,validation,2,A,2023-08
True,B,FSLY,2023-08-30,2023-09-01,2,23.440000534057617,1.4010002136230473,79894504.69373703,0.9600886917960088,0.818627450980392,0.9485294117647058,0.6029411764705882,0.875,0.9779411764705882,0.8455882352941176,2023-08-31,0.5403282327308053,-0.0692363363881765,0.4710918963426287,0.7000008174364662,0.5262425242318004,0.0642399278121041,0.003748444470218,2023-09-05,23.799999237060547,-0.0138655434573373,0.0144958500740579,-0.0474789578567299,-0.1621848246529467,0.0144958500740579,-0.1630251800481068,rolling_daily_cohorts_cooldown_10,1,0.1109004791603183,0.2291557896783531,0.4249239785365895,0.4398034118810241,0.149047792231461,0.2822476791210488,0.6548997825926728,0.0621696883815623,0.0434733015938362,0.0925893083896889,-0.0105529757013128,-0.0105529757013128,0.678413074860796,0.0309909259641163,0.2531193115467425,0.4497473705918746,-0.0043290207713565,0.9684222995424402,0.059769632325197,2023,validation,2,A,2023-09
True,A,IONQ,2023-08-30,2023-09-01,2,17.1200008392334,1.6034501552581784,218850639.1065836,0.9940872135994088,0.8799019607843137,0.9705882352941176,0.9411764705882352,0.9705882352941176,0.7279411764705882,0.9632352941176472,2023-08-31,0.2556985298654909,-0.0124733891465753,0.2432251407189156,0.8990820229791732,0.5464451912502379,0.1060214286901689,0.0098039258822366,2023-09-05,17.280000686645508,0.138888861294147,0.1603008356681243,-0.0393518679487846,-0.0648148608060512,0.2499999724052581,-0.0694444858365572,rolling_daily_cohorts_cooldown_10,1,0.0633540641985102,0.2505479447760554,-0.0660119525100363,0.5866543929341483,0.1220343911907395,0.169862428358738,1.1415527240425467,-0.0400150977432168,0.0726054743654092,0.1431063583533456,-0.1206984364149014,-0.14995028013592,0.8081960502357459,-0.2362347877449774,0.1361515292331669,0.1299158483610758,-0.0109091094045927,0.7663134161395405,0.093659467094394,2023,validation,2,A,2023-09
