ticker,origin,monthly_reference_id,weekly_reference_id,monthly_grade,weekly_grade,monthly_formation_date,weekly_formation_date,event_date,entry_date,r5,mfe5,mae5,r10,mfe10,mae10,master_grade,signal_id,year,sample,is_exact_confluence
BCYC,weekly_incremental,,W-BCYC-20220324,,A+,,2022-03-18,2022-03-24,2022-03-25,0.0324706133674173,0.0705882352941176,-0.0185882568359374,-0.1122353048885569,0.1249412087833179,-0.1171764598173253,A+,MT-090,2022,2019-2022,False
SGML,monthly_only,A+019,,A+,,2022-08-31,,2022-09-07,2022-09-08,0.2039199912570573,0.2197664953446534,-0.0229357484386864,0.1296914374361797,0.2301918500057189,-0.0229357484386864,A+,MT-099,2022,2019-2022,False
RYTM,monthly_only,A+020,,A+,,2022-09-30,,2022-10-04,2022-10-05,-0.0477153387391076,0.0788516295606496,-0.08127781100234,-0.0432672751569108,0.0788516295606496,-0.111200972539578,A+,MT-101,2022,2019-2022,False
WFRD,monthly_only,A+021,,A+,,2023-02-28,,2023-03-02,2023-03-03,-0.064909989726635,0.0448113188216858,-0.0677386695706397,-0.1877326899737521,0.0448113188216858,-0.2338842745931463,A+,MT-109,2023,2023-2026,False
AXSM,monthly_only,A+022,,A+,,2023-05-31,,2023-06-02,2023-06-05,-0.0018949566168529,0.0383053862515372,-0.0102868778436612,0.1505143903625088,0.164861948537935,-0.0102868778436612,A+,MT-110,2023,2023-2026,False
PRTA,monthly_only,A+023,,A+,,2023-05-31,,2023-06-02,2023-06-05,0.0122341435055033,0.0771627765572031,-0.0088698096007246,-0.0033498885037275,0.1233613914877029,-0.0088698096007246,A+,MT-113,2023,2023-2026,False
TMDX,monthly_only,A+024,,A+,,2023-05-31,,2023-06-05,2023-06-06,0.1005773833892091,0.1038001289221153,0.0,0.0789579314762156,0.1482476263537129,0.0,A+,MT-115,2023,2023-2026,False
VKTX,monthly_only,A+025,,A+,,2023-05-31,,2023-06-05,2023-06-06,0.0297180649008284,0.1093275722852056,-0.0065075758566228,-0.053796087295502,0.1093275722852056,-0.1004337832248973,A+,MT-116,2023,2023-2026,False
AAOI,monthly_only,A+026,,A+,,2023-07-31,,2023-08-02,2023-08-03,0.5937089993481768,0.726081242301392,-0.1480996195926948,0.7077325737269604,1.0838793420772226,-0.1480996195926948,A+,MT-121,2023,2023-2026,False
ANF,weekly_incremental,,W-ANF-20230829,,A+,,2023-08-25,2023-08-29,2023-08-30,0.0704828444093741,0.0794392127700849,-0.0021417564066265,-0.0140187151897737,0.0809968808017043,-0.0151868919397883,A+,MT-123,2023,2023-2026,False
ANF,monthly_only,A+027,,A+,,2023-08-31,,2023-09-05,2023-09-06,-0.0510259921711079,0.0081714320943013,-0.0539313825524184,-0.0815325565398817,0.0081714320943013,-0.0895224320409634,A+,MT-124,2023,2023-2026,False
XPO,weekly_incremental,,W-XPO-20231107,,A+,,2023-11-03,2023-11-07,2023-11-08,0.0659300546075456,0.0815224019451819,-0.0155923473376362,0.0926949457905506,0.0976059530448918,-0.0155923473376362,A+,MT-128,2023,2023-2026,False
SPOT,weekly_incremental,,W-SPOT-20231212,,A+,,2023-12-08,2023-12-12,2023-12-13,-0.0411516544346668,0.0166314816980024,-0.0494925429206142,-0.0439654296661612,0.0166314816980024,-0.0553211211399237,A+,MT-131,2023,2023-2026,False
